iter	Passed	Remaining
0	0	58
1	1	53
2	1	50
3	2	48
4	2	48
5	3	47
6	3	47
7	4	47
8	4	46
9	5	46
10	5	45
11	6	45
12	6	44
13	7	43
14	7	43
15	8	42
16	8	42
17	9	41
18	9	41
19	10	41
20	10	41
21	11	40
22	12	40
23	12	40
24	13	40
25	13	39
26	14	38
27	14	38
28	15	37
29	15	37
30	16	37
31	17	36
32	17	36
33	18	35
34	18	35
35	19	34
36	19	34
37	20	33
38	21	32
39	21	32
40	22	31
41	22	30
42	22	30
43	23	29
44	23	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	27	25
51	27	25
52	28	24
53	28	24
54	28	23
55	29	23
56	29	22
57	30	22
58	30	21
59	31	21
60	32	20
61	32	19
62	33	19
63	33	18
64	34	18
65	34	17
66	35	17
67	36	17
68	36	16
69	37	16
70	37	15
71	38	14
72	39	14
73	39	13
74	40	13
75	41	12
76	41	12
77	42	11
78	42	11
79	43	10
80	44	10
81	44	9
82	45	9
83	46	8
84	46	8
85	47	7
86	47	7
87	48	6
88	48	6
89	49	5
90	50	4
91	50	4
92	51	3
93	51	3
94	52	2
95	52	2
96	53	1
97	53	1
98	54	0
99	54	0
